Sample in Buffer,Sample in Window,TRIGGER,Aquila_SoC/RISCV_CORE0/BPU_Profiler/incorrect_predictions_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/prediction_accuracy_denominator_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/mispred_penalty_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/total_branches_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/cpi_denominator_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/correct_predictions_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/bht_hits_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/bht_hit_rate_numerator_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/bht_misses_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/bht_hit_rate_denominator_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/prediction_accuracy_numerator_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/instruction_completed_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/fetch_pc_debug[31:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/execution_cycles_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/cpi_numerator_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/penalty_counting_debug
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,SIGNED,HEX,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,HEX,HEX,HEX,HEX,HEX
1311,1311,0,12494010,269963745,13775964,277768626,000000004ce313d5,257469736,39962900,39962900,262873927,302836826,257469735,000000004ce313d6,00004d20,000000005af85b2c,000000005af85b2b,0
1312,1312,0,12494010,269963746,13775964,277768626,000000004ce313d6,257469736,39962900,39962900,262873927,302836827,257469736,000000004ce313d7,00004d20,000000005af85b2d,000000005af85b2c,0
1313,1313,0,12494010,269963746,13775964,277768626,000000004ce313d7,257469736,39962900,39962900,262873927,302836827,257469736,000000004ce313d7,00004d20,000000005af85b2d,000000005af85b2d,0
1314,1314,0,12494010,269963746,13775964,277768626,000000004ce313d7,257469736,39962900,39962900,262873927,302836827,257469736,000000004ce313d8,00004d18,000000005af85b2e,000000005af85b2d,0
1315,1315,0,12494010,269963746,13775964,277768626,000000004ce313d8,257469736,39962900,39962900,262873927,302836827,257469736,000000004ce313d8,00004d1c,000000005af85b2f,000000005af85b2e,0
1316,1316,0,12494010,269963746,13775964,277768627,000000004ce313d8,257469737,39962900,39962900,262873928,302836827,257469736,000000004ce313d9,00004d20,000000005af85b30,000000005af85b2f,0
1317,1317,0,12494010,269963747,13775964,277768627,000000004ce313d9,257469737,39962900,39962900,262873928,302836828,257469737,000000004ce313da,00004d20,000000005af85b31,000000005af85b30,0
1318,1318,0,12494010,269963747,13775964,277768627,000000004ce313da,257469737,39962900,39962900,262873928,302836828,257469737,000000004ce313da,00004d20,000000005af85b31,000000005af85b31,0
1319,1319,0,12494010,269963747,13775964,277768627,000000004ce313da,257469737,39962900,39962900,262873928,302836828,257469737,000000004ce313db,00004d18,000000005af85b32,000000005af85b31,0
1320,1320,0,12494010,269963747,13775964,277768627,000000004ce313db,257469737,39962900,39962900,262873928,302836828,257469737,000000004ce313db,00004d1c,000000005af85b33,000000005af85b32,0
